pairID,minute,touching,treatment,hive
A_A27,38,0,Ringers,Garden
A_A28,38,1,Ringers,Garden
A_A29,38,1,Ringers,Garden
A_A30,38,1,Ringers,Garden
A_A31,38,0,Ringers,Garden
A_A32,38,0,Ringers,Garden
A_B1,38,1,Ringers,Garden
A_B2,38,1,Ringers,Garden
A_B3,38,1,Ringers,Garden
A_B4,38,1,Ringers,Garden
A_B5,38,1,Ringers,Garden
A_B6,38,0,Ringers,Garden
A_B7,38,0,Ringers,Garden
A_B8,38,1,Ringers,Garden
A_B9,38,1,Ringers,Garden
A_B10,38,1,Ringers,Garden
A_B11,38,1,Ringers,Garden
A_B12,38,0,Ringers,Garden
A_B13,38,1,Ringers,Garden
A_B14,38,1,Ringers,Garden
A_B15,38,0,Ringers,Garden
A_B16,38,1,Ringers,Garden
A_B17,38,1,Ringers,Garden
A_B18,38,0,Ringers,Garden
A_B19,38,1,Ringers,Garden
A_B20,38,0,Ringers,Garden
A_B21,38,0,Ringers,Garden
A_B22,38,1,Ringers,Garden
A_B23,38,0,Ringers,Garden
A_B24,38,1,Ringers,Garden
A_B25,38,1,Ringers,Garden
A_B26,38,1,Ringers,Garden
A_B27,38,1,Ringers,Garden
A_B28,38,1,Ringers,Garden
A_B29,38,0,Ringers,Garden
A_B30,38,1,Ringers,Garden
A_B31,38,0,Ringers,Garden
A_B32,38,1,Ringers,Garden
A_B33,38,1,Ringers,Garden
A_B34,38,1,Ringers,Garden
A_B35,38,1,Ringers,Garden
A_B36,38,0,Ringers,Garden
A_B37,38,1,Ringers,Garden
A_B38,38,0,Ringers,Garden
A_C1,38,1,LPS,Garden
A_C2,38,1,LPS,Garden
A_C3,38,0,LPS,Garden
A_C4,38,0,LPS,Garden
A_C5,38,0,LPS,Garden
A_C6,38,1,LPS,Garden
A_C7,38,1,LPS,Garden
A_C8,38,1,LPS,Garden
A_C9,38,1,LPS,Garden
A_C10,38,1,LPS,Garden
A_C11,38,1,LPS,Garden
A_C12,38,1,LPS,Garden
A_C13,38,1,LPS,Garden
A_C14,38,1,LPS,Garden
A_C15,38,1,LPS,Garden
A_C16,38,1,LPS,Garden
A_C17,38,1,LPS,Garden
A_C18,38,1,LPS,Garden
A_C19,38,1,LPS,Garden
A_C20,38,1,LPS,Garden
A_C21,38,1,LPS,Garden
A_C22,38,0,LPS,Garden
A_C23,38,1,LPS,Garden
A_C24,38,1,LPS,Garden
A_C25,38,1,LPS,Garden
A_C26,38,0,LPS,Garden
A_C27,38,0,LPS,Garden
A_C28,38,1,LPS,Garden
A_C29,38,1,LPS,Garden
A_C30,38,0,LPS,Garden
A_C31,38,1,LPS,Garden
A_C32,38,0,LPS,Garden
A_C33,38,1,LPS,Garden
A_C34,38,1,LPS,Garden
A_C35,38,1,LPS,Garden
A_C36,38,1,LPS,Garden
A_C37,38,1,LPS,Garden
A_C38,38,1,LPS,Garden
A_D1,38,1,LPS,Garden
A_D2,38,0,LPS,Garden
A_D3,38,1,LPS,Garden
A_D4,38,0,LPS,Garden
A_D5,38,0,LPS,Garden
A_D6,38,1,LPS,Garden
A_D7,38,1,LPS,Garden
A_D8,38,0,LPS,Garden
A_D9,38,1,LPS,Garden
A_D10,38,1,LPS,Garden
A_D11,38,1,LPS,Garden
A_D12,38,1,LPS,Garden
A_D13,38,1,LPS,Garden
A_D14,38,1,LPS,Garden
A_D15,38,0,LPS,Garden
A_D16,38,0,LPS,Garden
A_D17,38,1,LPS,Garden
A_D18,38,1,LPS,Garden
A_D19,38,0,LPS,Garden
A_D20,38,1,LPS,Garden
A_D21,38,1,LPS,Garden
A_D22,38,1,LPS,Garden
A_D23,38,1,LPS,Garden
A_D24,38,1,LPS,Garden
A_D25,38,0,LPS,Garden
A_D26,38,1,LPS,Garden
A_D27,38,1,LPS,Garden
A_D28,38,1,LPS,Garden
A_D29,38,1,LPS,Garden
A_D30,38,0,LPS,Garden
A_D31,38,1,LPS,Garden
A_D32,38,0,LPS,Garden
A_A1,40,1,Ringers,Garden
A_A2,40,1,Ringers,Garden
A_A3,40,1,Ringers,Garden
